"A 1983 animated version of the Dickens classic, with Mickey Mouse as Bob Cratchit and Scrooge McDuck as the miserly Ebenezer Scrooge. Nominated for an Oscar.",G,Burny Mattinson,Director Not Available,Director Not Available,Writer Not Available,Writer Not Available,Writer Not Available,Writer Not Available,10/23/1983,25 minutes,Studio Not Available,Wayne Allwine,Alan Young,Will Ryan,Cast Not Available,Cast Not Available,Cast Not Available,Mickey's Christmas Carol,1983
Lonely little rich girl Cecilia (Yeardley Smith) and street urchin Louie (Joey Shea) find a whole new adventure when the actions of an eccentric inventor (Walter Cronkite) leads them to dinosaur friends roaming wild in the big city.,G,Phil Nibbelink,Simon Wells,Dick Zondag,John Patrick Shanley,Writer Not Available,Writer Not Available,Writer Not Available,1/1/1993,71 minutes,MCA Universal Home Video,John Goodman,Rene Levant,Felicity Kendal,Charles Fleischer,Joey Shea,Walter Cronkite,We're Back! A Dinosaur's Story,1993
"LONG WAY NORTH is set in the late 19th century Saint Petersburg. Sacha, a young girl from the Russian aristocracy, dreams of the Great North and anguishes over the fate of her grandfather, Oloukine, a renowned scientist and Arctic explorer who has yet to return from his latest expedition to conquer the North Pole. Sacha has always been fascinated by the adventurous life of her grandfather and has the same calling as Oloukine to be an explorer. But Sacha's parents, who already made arrangements for her marriage, strongly disapprove the idea to say the least. Defying her destiny, Sacha flees her home and launches an adventure-filled quest toward the Great North in search of Oloukine and his ship.",PG ,Rmi Chay,Director Not Available,Director Not Available,Patricia Valeix,Fabrice De Costil,Writer Not Available,Writer Not Available,9/30/2016,81 minutes,Studio Not Available,Christa Theret,Feodor Atkine,Thomas Sagols,Rmi Caillebot,Cast Not Available,Cast Not Available,Long Way North (Tout en haut du monde),2016
"Writer/director David Kaplan offers a new spin on the familiar Cinderella story with this visually inventive tale of a hopeful Chinese immigrant who discovers that life in New York City isn't for the faint of heart after being forced to work in a shady massage partner. Shot on video and subsequently rotoscoped to take on a slightly surreal look, Year of the Fish opens to find wide-eyed Chinese immigrant Ye Xian (An Nguyen) arriving in New York City in hopes of raising some money to send back to her ailing father overseas. Soon falling into the neon-lit lair of ""massage parlor"" madame Mrs. Su (Tsai Chin), Ye is forced to do all of the cooking and cleaning after refusing to service her clientele as instructed. All the while, Ye's only sense of solace comes thanks to a growing fish bestowed upon her by a mysterious hunchback named Auntie Yaga (Randall Duk Kim). Meanwhile, Ye longs to catch the eye of kindhearted jazz musician Johnny (Ken Leung) while fending off unwanted advances of Mrs. Su's depraved and persistent son. Just when it begins to seem as if Ye's situation cannot get any more grim, a lavish party staged to celebrate the Chinese New Year leads to a most unanticipated turn of events.",NR,David Kaplan,Director Not Available,Director Not Available,David Kaplan,Writer Not Available,Writer Not Available,Writer Not Available,10/14/2007,96 minutes,Gigantic Pictures,An Nguyen,Ken Leung,Tsai Chin,Hettienne Park,Lee Wong,Lori Tan Chinn,Year of the Fish,2007
"THE LITTLE VAMPIRE, based on the characters from the bestselling novels by Angela Sommer-Bodenburg, tells the story of Rudolph, a thirteen year old vampire, whose clan is threatened by a notorious vampire hunter. He meets Tony, a mortal of the same age, who is fascinated by old castles, graveyards and - vampires. Tony helps Rudolph in an action and humor packed battle against their adversaries, together they save Rudolph's family and become friends.",NR,Richard Claus,Karsten Kiilerich,Director Not Available,Angela Sommer-Bodenburg,Larry Wilson,Richard Claus,Writer Not Available,8/28/2018,82 minutes,Studio Not Available,Jim Carter,Rasmus Hardiker,Alice Krige,Tim Pigott-Smith,Miriam Margolyes,Matthew Marsh,The Little Vampire 3D,2017
"Mike Wazowski and James P. Sullivan are an inseparable pair, but that wasn't always the case. From the moment these two mismatched monsters met they couldn't stand each other. ""Monsters University"" unlocks the door to how Mike and Sulley overcame their differences and became the best of friends. -- (C) Walt Disney",G,Dan Scanlon,Director Not Available,Director Not Available,Daniel Gerson,Robert L. Baird,Dan Scanlon,Writer Not Available,6/21/2013,95 minutes,Walt Disney Pictures,Billy Crystal,John Goodman,Steve Buscemi,Helen Mirren,Peter Sohn,Joel Murray,Monsters University,2013
"Mulan II, the direct-to-video sequel to the Disney hit Mulan, begins with the title character becoming engaged to General Shang. Before they can begin a life of wedded bliss, they must escort a trio of princesses to weddings of their own in order to facilitate a peace between warring nations. Mulan begins to believe her mission may be less than noble upon discovering that the women are being forced into arranged marriages against their will. Mulan ends up opposing her beloved General Shang in order to fight for what is right. ~ Perry Seibert, Rovi",G,Darrell Rooney,Lynne Southerland,Director Not Available,Chris Parker,Roger S.H. Schulman,Writer Not Available,Writer Not Available,1/1/2003,78 minutes,Walt Disney Productions,Ming-Na Wen,Mark Moseley,Harvey Fierstein,Jillian Henry,B.D. Wong,Lucy Liu,Mulan II,2003
"A diabolical villain who seems to know Batman's every move sets out to clean up the streets of Gotham for good and destroy the caped crime-fighter in the process. Every night, Batman protects the citizens of Gotham from the shadows. But lately another vigilante has been prowling the streets, and his merciless methods are more frightening than reassuring. Now, as the Red Hood commences to exterminating the scum of the city with extreme prejudice, the Joker resurfaces to taunt his old nemesis by digging up some skeletons that were best left buried.",PG-13,Brandon Vietti,Director Not Available,Director Not Available,Judd Winick,Writer Not Available,Writer Not Available,Writer Not Available,7/27/2010,76 minutes,WARNER BROTHERS PICTURES,Bruce Greenwood,Jensen Ackles,Neil Patrick Harris,John Di Maggio,John DiMaggio,Jason Isaacs,Batman: Under the Red Hood,2010
"Paul Giamatti, Brian Posehn, Rosario Dawson, Danny Trejo, Daniel Roebuck, Tom Kenny, Tom Papa, and, of course, Sheri Moon Zombie all lend their voices to director Rob Zombie's animated tale of a washed-up luchador who makes it his mission to battle the forces of the supernatural. As the heroic El Superbeasto (voice of Papa) advances ever closer to his ultimate confrontation with the diabolical Dr. Satan (Giamatti), each adventure becomes more surreal and terrifying than the last.",R ,Rob Zombie,Mr. Lawrence,Director Not Available,Tom Papa,Rob Zombie,Writer Not Available,Writer Not Available,9/22/2009,77 minutes,Anchor Bay Entertainment,Tom Papa,Paul Giamatti,Brian Posehn,Sheri Moon Zombie,Danny Trejo,Geoffrey Lewis,The Haunted World of El Superbeasto,2009
"In this third installment of the animated saga of a young brontosaurus and his pals, trouble has come to the Great Valley in the form of a meteorite. It fell just beyond the valley and now blocks the main water supply. As the land dries and thirst increases, the different species of dinosaurs who once coexisted peacefully become fractious. Suddenly Littlefoot and his friends are no longer allowed to play together. As bigotry and bickering increase, Littlefoot's gang decides that it's up to them to save the day. Since they went outside the valley in the last sequel, they know where water can be found, and though the Great Beyond is populated by tyrannosauruses and other carnivores, the youngsters know that they and their parents must take that risk in order to survive.",G,Roy Allen Smith,Hang Deok Jo,Hoon Chil Joo,Dev Ross,John Loy,John Ludin,Writer Not Available,6/1/1995,71 minutes,MCA Universal Home Video,Jeff Bennett,Linda Gary,Heather Hogan,John Ingle,Tress MacNeille,Candy Hutson,The Land Before Time III: The Time of Great Giving,1995
"Since the discovery of the very first fossil, dinosaurs have captured the imagination of historians both young and old. They are the planet's greatest mystery. How is it that these enormous, majestic beasts could have simply disappeared from the surface of the planet? In this release, amateur paleontologists are invited to take a 3-D voyage into the prehistoric world as the foremost scientists and researchers on the era explore the greatest paleontological discoveries made by man in addition to offering groundbreaking computer-generated footage of such dinosaurs as the Giganotosaurus and Argentinosaurus. ~ Jason Buchanan, Rovi",NR,Marc Fafard,Director Not Available,Director Not Available,Writer Not Available,Writer Not Available,Writer Not Available,Writer Not Available,5/9/2007,47 minutes,Sky High Entertainment,Donald Sutherland,Rodolfo Coria,Cast Not Available,Cast Not Available,Cast Not Available,Cast Not Available,Dinosaurs: Giants of Patagonia,2007
"11-year-old orphan, Flicie (Elle Fanning) has one dream - to go to Paris and become a dancer. Her best friend Victor (Nat Wolff), an imaginative but exhausting boy with a passion for creating, has a dream of his own - to become a famous inventor. In a leap of faith, Victor and Flicie leave their orphanage in pursuit of their passions. But - there's a catch, Flicie must pretend to be the child of a wealthy family in order to gain admittance to the prestigious and competitive Opera Ballet School in Paris. And with no professional dance training, she quickly learns that talent alone is not enough to overcome the ruthless, conniving attitudes of her fellow classmates, led by the devious Camille Le Haut (Maddie Ziegler) and her wicked mother Rgine (Kate McKinnon). Determined to succeed, Flicie finds her mentor in the tough and mysterious school custodian, Odette (Carly Rae Jepsen) who, along with Victor's encouraging friendship, help her reach for the stars.",PG ,Eric Summer,ric Warin,Director Not Available,Carol Noble,Eric Summer,Laurent Zeitoun,Writer Not Available,8/25/2017,89 minutes,The Weinstein Company,Elle Fanning,Nat Wolff,Maddie Ziegler,Mel Brooks,Carly Rae Jepsen,Kate McKinnon,Leap!,2017
"Fathom Events, Warner Bros. and DC Comics invite you to a premiere event when Batman: The Killing Joke comes to select cinemas nationwide for a special one-night event including an introduction from Mark Hamill plus two never-before-seen featurettes. Based on the acclaimed DC Comics graphic novel, take a journey into the dark psyche of the Clown Prince of Crime. Now escaped from Arkham Asylum, The Joker sets out to prove that one bad day can make anyone just as insane as he is. Featuring the return of Kevin Conroy as Batman, Mark Hamill as The Joker and Tara Strong as Batgirl, witness the birth of a super villain, the fortitude of a hero and the punchline that will leave you speechless!",R ,Sam Liu,Director Not Available,Director Not Available,Bob Kane,Bill Finger,Alan Moore,Brian Bolland,7/25/2016,72 minutes,The Answer Studio,Kevin Conroy,Mark Hamill,Ray Wise,Tara Strong,Cast Not Available,Cast Not Available,Batman: The Killing Joke,2016
A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law.,PG ,Dean DeBlois,Chris Sanders,Director Not Available,Dean DeBlois,Chris Sanders,Writer Not Available,Writer Not Available,6/21/2002,85 minutes,Buena Vista Distribution Compa,Daveigh Chase,Tia Carrere,Ving Rhames,David Ogden Stiers,Kevin McDonald,Jason Scott Lee,Lilo & Stitch,2002
"Forget everything you know about Little Red Riding Hood; the classic fairy tale gets a new look and a new style in this computer-animated comedy for the whole family. Grizzly (voice of Xzibit) and Stork (voice of Anthony Anderson) are a pair of critter cops who have been called the homey bungalow of Granny (voice of Glenn Close) to investigate a disturbance of the peace. It seems there was an altercation involving Granny, her granddaughter Little Red Riding Hood (voice of Anne Hathaway), a Big Bad Wolf (voice of Patrick Warburton), and a Woodsman (voice of Jim Belushi). However, as the detectives interview the participants and get each individual's perspective, they learn that Granny isn't so helpless, Red may have been doing more than just visiting relatives, the Wolf isn't the predator he's been cracked up to be, and the Woodman doesn't have much of an intellectual advantage over the trees he chops down. Hoodwinked also features the voice talents of Andy Dick, David Ogden Stiers, and Chazz Palminteri.",PG ,Cory Edwards,Todd Edwards,Tony Leech,Cory Edwards,Todd Edwards,Tony Leech,Writer Not Available,1/13/2005,80 minutes,Weinstein Company,Glenn Close,Anne Hathaway,Jim Belushi,Patrick Warburton,Anthony Anderson,David Ogden Stiers,Hoodwinked,2005
Being locked away in Arkham has little effect on Joker and his latest desire to detonate a dirty bomb within Gotham. The clock begins to tick and a deadly triangle unfolds as Amanda Waller unleashes Task Force X to save the day...while Batman has his own plans for salvation.,PG-13,Jay Oliva,Ethan Spaulding,Director Not Available,Heath Corson,Writer Not Available,Writer Not Available,Writer Not Available,8/12/2014,72 minutes,WARNER BROTHERS PICTURES,Kevin Conroy,Neal McDonough,Hynden Walch,Matthew Gray Gubler,CCH Pounder,Giancarlo Esposito,Batman: Assault on Arkham,2014
"When Gnomeo and Juliet first arrive in the city with their friends and family, their biggest concern is getting their new garden ready for spring. However, they soon discover that someone is kidnapping garden gnomes all over London. When Gnomeo and Juliet return home to find that everyone in their garden is missing there's only one gnome to call SHERLOCK GNOMES. The famous detective and sworn protector of London's garden gnomes arrives with his sidekick Watson to investigate the case. The mystery will lead our gnomes on a rollicking adventure where they will meet all new ornaments and explore an undiscovered side of the city.",PG ,John Stevenson,Director Not Available,Director Not Available,Ben Zazove,Writer Not Available,Writer Not Available,Writer Not Available,3/23/2018,86 minutes,Paramount Pictures,James McAvoy,Emily Blunt,Johnny Depp,Chiwetel Ejiofor,Maggie Smith,Michael Caine,Sherlock Gnomes,2018
"Mr. Peabody, the most accomplished dog in the world, and his mischievous boy Sherman, use their time machine - the WABAC - to go on the most outrageous adventures known to man or dog. But when Sherman takes the WABAC out for a joyride to impress his friend Penny, they accidentally rip a hole in the universe, wreaking havoc on the most important events in world history. Before they forever alter the past, present and future, Mr. Peabody must come to their rescue, ultimately facing the most daunting challenge of any era: figuring out how to be a parent. Together, the time traveling trio will make their mark on history. (c) Fox",PG ,Rob Minkoff,Director Not Available,Director Not Available,Michael McCullers,Craig Wright,Writer Not Available,Writer Not Available,3/7/2014,92 minutes,20th Century Fox,Ty Burrell,Max Charles,Stephen Colbert,Ariel Winter,Leslie Mann,Patrick Warburton,Mr. Peabody & Sherman,2014
"The year is 2020, three days before the opening of the Tokyo Olympics. While she should be studying for her exams, Kokone Morikawa is often dozing off, stuck between reality and a dream-world full of fantastic motorized contraptions. But after her father, a talented but mysterious mechanic, is arrested for stealing technology from a powerful corporation, it's up to Kokone and her childhood friend Morio to save him. Together they realize that Kokone's dream-world holds the answers to the mystery behind the stolen tech, and they embark on a journey that traverses dreams and reality, city and country, and past and present. Their mission uncovers a trail of clues to her father's disappearance and ultimately a surprising revelation about Kokone's family. From visionary director Kenji Kamiyama (Ghost in the Shell: Stand Alone Complex and Eden of the East) comes a sci-fi fantasy that effortlessly weaves together the rapidly evolving technology of today's world with the fantastic imagination of the next generation. With an ambitious mix of multilayered action, whimsical characters and inventive machines, Napping Princess is a genre- and universe-blending film that shows that following your dreams is sometimes the best way to discover your past.",NR,Kenji Kamiyama,Director Not Available,Director Not Available,Kenji Kamiyama,Writer Not Available,Writer Not Available,Writer Not Available,9/8/2017,110 minutes,GKIDS,Arata Furuta,Mitsuki Takahata,Shinnosuke Mashima,Yosuke Eguchi,Rie Kugimiya,Cast Not Available,Napping Princess (Hirune-hime: Shiranai watashi no monogatari),2017
"Maya is a little bee with a big heart. She dreams of an exciting life of freedom, fun and adventure - the world is simply far too interesting to stay inside a hive! Her funny attempts to fit in bring her into trouble with the Queen's narrow-minded royal advisor, Buzzlina. With her best friend Willy, Maya buzzes out into the meadow on an exhilarating adventure of self-discovery. While most bees believe that other insects should be feared, Maya can't help but make friends with Flip the charismatic and eccentric grasshopper, Kurt the dung beetle and even Sting, a young hornet. But when the Queen's royal jelly is stolen, it will take Maya and all of her bug buddies to figure out who did it and how to save the day!(C) Shout Factory",G,Alexs Stadermann,Simon Pickard,Director Not Available,Fin Edquist,Martin Quaden,Writer Not Available,Writer Not Available,5/1/2015,79 minutes,Shout! Factory,Kodi Smit-McPhee,Richard Roxburgh,Noah Taylor,Jacki Weaver,Miriam Margolyes,Cast Not Available,Maya The Bee Movie,2015
"Graham Chapman, probably best remembered as 'the dead one from Monty Python', writes and stars in the animated movie of his own life story, A Liar's Autobiography. Although Chapman selfishly dropped dead in 1989, he had taken the trouble to record himself reading his book, A Liar's Autobiography - and those recordings have now ingeniously been used to provide Chapman's voice for the 3D animated feature of the same name. Fellow Pythons John Cleese, Terry Jones, Michael Palin, and Terry Gilliam also turn up, playing themselves and other characters, along with a few surprise guests. Not a documentary, not a Monty Python film, A Liar's Autobiography is Chapman's own take on his bizarre life and his search for self-knowledge. Incredible, yes. Surreal, certainly. True, who knows? -- (C) Official Site",R ,Bill Jones,Jeff Simpson (II),Ben Timlett,Graham Chapman,Writer Not Available,Writer Not Available,Writer Not Available,11/2/2012,82 minutes,Brainstorm Media,Graham Chapman,Terry Gilliam,John Cleese,Michael Palin,Terry Jones,Carol Cleveland,A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,2012
"One of the most popular Disney animated musicals, The Lion King presents the story of a lion cub's journey to adulthood and acceptance of his royal destiny. Simba (voiced first by Jonathan Taylor Thomas, then by Matthew Broderick) begins life as an honored prince, the son of the powerful King Mufasa (voiced by James Earl Jones). The cub's happy childhood turns tragic when his evil uncle, Scar (voiced by Jeremy Irons), murders Mufasa and drives Simba away from the kingdom. In exile, the young lion befriends the comically bumbling pair of Pumbaa the warthog (voiced by Ernie Sabella) and Timon the meerkat (voiced by Nathan Lane), he and lives a carefree jungle life. As he approaches adulthood, however, he is visited by the spirit of his father, who instructs him to defeat the nefarious Scar and reclaim his rightful throne. Borrowing elements from Hamlet, classical mythology, and African folk tales, The Lion King tells its mythic coming-of-age tale with a combination of spectacular visuals and lively music, featuring light, rhythmic songs by Elton John and Tim Rice, and a score by Hans Zimmer. Embraced by children and adults alike, the film also spawned hit songs (""Can You Feel the Love Tonight,"" ""The Circle of Life"") and a hit Broadway musical. In late 2002, The Lion King was re-released in the large-screen IMAX format. ~ Judd Blaise, Rovi",G,Roger Allers,Rob Minkoff,Director Not Available,Linda Woolverton,Jonathan Roberts,Irene Mecchi,Writer Not Available,6/15/1994,87 minutes,Buena Vista,Matthew Broderick,Jeremy Irons,James Earl Jones,Nathan Lane,Moira Kelly,Ernie Sabella,The Lion King,1994
"After his adventures with the mummies of Guanajuato and of being in the middle of the independence war, Leo San Juan is taken prisoner when he gets mistaken for an insurgent rebel by the royalist army soldiers while on his way back to Puebla. While locked in an old abandoned convent among other rebels, a frightening winged monster appears next to them: El Chupacabras, who attacks prisoners and guards alike. Abandoned to their fate, Leo and the rebels must fight the monster and escape before the royalists blow up the convent. As he struggles to survive he will discover the secret behind El Chupacabras and will have to make the most difficult decision of his life.",PG ,Alberto Rodrguez,Director Not Available,Director Not Available,Alberto Rodrguez,Acn Coen,Writer Not Available,Writer Not Available,10/14/2016,81 minutes,Anima Estudios,Benny Mendoza,Eduardo Ramirez Espana,Mayt Cordero,Laura Gonzlez,Laura Gonzalez Fernandez,Emilio Trevino,La Leyenda del Chupacabras,2016
"Grant Boyer is an attractive, strange guy with a wife who is worried about his behavior. She realizes Grant is not stable but she can't identify his problems. A corporate executive and a military personality compound Boyers' miseries.",R ,Bill Plympton,Director Not Available,Director Not Available,Bill Plympton,Writer Not Available,Writer Not Available,Writer Not Available,8/28/1998,73 minutes,Lions Gate Films,J.B. Adams,Charis Michaelson,Max Brandt,Charis Michelson,Tom Larson,Richard Spore,I Married a Strange Person,1998
A man struggles with his inability to connect with other people.,R ,Charlie Kaufman,Duke Johnson,Director Not Available,Charlie Kaufman,Writer Not Available,Writer Not Available,Writer Not Available,12/30/2015,96 minutes,Starburns Industries,Jennifer Jason Leigh,David Thewlis,Tom Noonan,Cast Not Available,Cast Not Available,Cast Not Available,Anomalisa,2015
"Experience a compelling twist on the familiar fairy tale in an animated Disney sequel that explores just what may have happened had the mythical glass slipper not fit. Cinderella's wicked stepmother has stolen the Fairy Godmother's magic wand, and now she's determined to turn back the hands of time. Now, in order to break the evil spell, the frightened Cinderella will have to find her beloved Prince Charming before her time runs out. Gus, Jaq, and all of the characters who made the original Cinderella a beloved classic return in an enchanting animated sequel filled with show-stopping musical numbers, nail-biting suspense, and magical wonders for the entire family.",G,Frank Nissen,Director Not Available,Director Not Available,Steve Bencich,Ron J. Friedman,Eddie Guzelian,Margaret Heidenry,2/6/2007,74 minutes,Walt Disney Productions,Jennifer Hale,C.D. Barnes,Christopher Daniel Barnes,Susanne Blakeslee,Tress MacNeille,Russi Taylor,Cinderella III: A Twist in Time,2007
"An unstoppable android on the horizon. A mysterious fireball hurtling toward Earth. A fearless - and beautiful - reporter who will stop at nothing to get her story. It's just another day for the heroic Man of Steel... only this time, for better or for worse, he has his unpredictable cousin, Supergirl, by his side. The gritty adventure begins as Superman learns about the ruthless force known as Brainiac, who has seized and miniaturized Krypton's capital city of Kandor.",PG-13,James Tucker,Director Not Available,Director Not Available,Geoff Johns,Bob Goodman,Writer Not Available,Writer Not Available,5/7/2013,75 minutes,WARNER BROTHERS PICTURES,Stana Katic,Matt Bomer,John Noble,Molly Quinn,Frances Conroy,Wade Williams,Superman Unbound,2013
"Unique in the annals of animated films, Watership Down is a serious, even grim tale that many will find relentless and depressing and others will find poetic and moving. It doesn't pull any punches. Death -- violent, disturbing death -- is ever present, portrayed in a manner that is astonishingly honest for a cartoon. As a result, it is that rare animated film that really aims for a mature audience, despite its superficial funny animal trappings. It has a brilliant opening, most likely created by UPA veteran John Hubley, which in a primitive and simplistic style relates a creation myth as told by rabbits. The style changes thereafter, with beautiful watercolor backgrounds and a more natural approach to character animation. Unfortunately, the animation suffers somewhat from this point, becoming a bit sloppy, although it continues to portray the characters' movements as realistically as possible. The character designs themselves are rather too similar, with the result that it is sometimes difficult to tell the various rabbits apart. The story is also sometimes told in too-broad strokes, leaving those unfamiliar with the novel confused as to exactly what has happened and, more importantly, why. However, these flaws are redeemed by some unforgettable sequences, including a chilling segment detailing the destruction of the rabbits' warren and a devastatingly sad end sequence in which the Black Rabbit of Death gently takes one of the heroes away with it. Voiced by a fine cast, with stellar work from John Hurt and Richard Briers, Watership Down is an imperfect film with some of the most powerful moments ever created for the genre. ~ Craig Butler, Rovi",PG,Martin Rosen,Director Not Available,Director Not Available,Martin Rosen,Writer Not Available,Writer Not Available,Writer Not Available,11/1/1978,92 minutes,WARNER BROTHERS PICTURES,John Hurt,Richard Briers,Michael Graham Cox,John Bennett,Simon Cadell,Roy Kinnear,Watership Down,1978
"The biggest babies in the entertainment business take their act to Europe in this sequel to the surprise-hit animated feature The Rugrats Movie. Chuckie (voice of Christine Cavanaugh) has been fretting over his father Chas (voice of Michael Bell) and his status as a single father, as he wants to have a mommy like all of his friends. Chas and his father Stu (voice of Jack Riley) were hired to create a bevy of electronic critters for the newly opened Euro-Reptarland theme park, but the robots are acting up, and park manager Coco La Bouche (Susan Sarandon) is hopping mad. So Stu and Chas are flown to Paris to do some repairs, with Chas bringing Chuckie and all his friends along. Their visit to the City of Lights proves to be one adventure after another, as Chuckie tries to find a suitable mother (with Coco leading the pack) and Tommy (voice of Elizabeth Dailey) somehow gets behind the wheel of the giant Reptar robot. Rugrats in Paris: The Movie features original songs from T-Boz from TLC, The Baha Men, and Mylene Farmer, while John Lithgow, Debbie Reynolds, and Mako contribute to the voice cast.",G,Stig Bergqvist,Paul Demeyer,Director Not Available,Kate Boutilier,J. David Stem,David N. Weiss,Barbara Herndon,11/17/2000,85 minutes,Paramount Pictures,Christine Cavanaugh,E. G. Daily,Michael Patrick Bell,Cheryl Chase,Cree Summer Franck,Susan Sarandon,Rugrats in Paris - The Movie,2000
"Three thousand years ago, the greatest sailors in the world voyaged across the vast Pacific, discovering the many islands of Oceania. But then, for a millennium, their voyages stopped - and no one knows exactly why. From Walt Disney Animation Studios comes ""Moana,"" a sweeping, CG-animated feature film about an adventurous teenager who sails out on a daring mission to save her people. During her journey, Moana (voice of Auli'i Cravalho) meets the mighty demigod Maui (voice of Dwayne Johnson), who guides her in her quest to become a master wayfinder. Together, they sail across the open ocean on an action-packed voyage, encountering enormous monsters and impossible odds, and along the way, Moana fulfills the ancient quest of her ancestors and discovers the one thing she's always sought: her own identity. Directed by the renowned filmmaking team of Ron Clements and John Musker (""The Little Mermaid,"" ""Aladdin,"" ""The Princess & the Frog""), produced by Osnat Shurer (""Lifted,"" ""One Man Band""), and featuring music by Lin-Manuel Miranda, Mark Mancina and Opetaia Foa'i, ""Moana"" sails into U.S. theaters on Nov. 23, 2016.",PG ,Ron Clements,John Musker,Chris Williams (IX),Jared Bush,Writer Not Available,Writer Not Available,Writer Not Available,11/23/2016,103 minutes,Walt Disney Pictures,Auli'i Cravalho,Dwayne Johnson,Temuera Morrison,Rachel House,Nicole Scherzinger,Jemaine Clement,Moana,2016
"Have you ever wondered ""What is the meaning of life? Why do we exist?"" The answer to this vexing question is now within your reach. You'll find it in a small yet amazing booklet, which will explain, in easy to follow, simple terms your reason for being. The booklet, printed on the finest paper, contains illuminating, exquisite color pictures, and could be yours for a mere $9.99. This is the ad that alters the life of the unemployed 28-year-old who still lives at home, Dave Peck. In his struggle to share his find with the world, Dave's surreal path crosses with those of his unusual neighbors: an old man and his disgruntled guardian angel, a magician in debt, a bewitching woman who likes her men extra smooth, a broken hearted man who befriends a group of hard partying two inch tall students, and a little boy who sets his piggy bank free. Their stories are woven together, examining the post-modern meaning of hope.",R ,Tatia Rosenthal,Director Not Available,Director Not Available,Etgar Keret,Tatia Rosenthal,Writer Not Available,Writer Not Available,9/4/2008,78 minutes,Regent Releasing,Geoffrey Rush,Anthony LaPaglia,Samuel Johnson,Claudia Karvan,Joel Edgerton,Barry Otto,$9.99 ,2008
"""Alvin and the Chipmunks,"" a global phenomenon to generations of fans, becomes a live action/CGI motion picture event with contemporary comic sensibility. Songwriter Dave Seville transforms singing chipmunk Alvin, Simon and Theodore into pop sensations - while the out-of-control trio lays waste to Dave's home, wreaks havoc with his career, and turns Dave's once- orderly life upside-down.",PG ,Tim Hill,Director Not Available,Director Not Available,Ross Bagdasarian Sr.,Will McRobb,Chris Viscardi,Jon Vitti,12/14/2007,91 minutes,20th Century Fox,Jason Lee,Cameron Richardson,Jane Lynch,David Cross,Justin Long,Jesse McCartney,Alvin and the Chipmunks,2007
"The British animation firm of John Halas and Joy Batchelor perform yeoman service in adapting George Orwell's allegorical novel Animal Farm to the screen. As any high-school English student can tell you,the original 1945 novel was Orwell's spin on the rise and fall of the Communist myth. A group of intelligent animals overthrow their corrupt human owner and set up their own self-sustained farm, predicated on an idealistic credo: ""All Animals are Created Equal"", ""No Animal Shall Ever Drink Liquor"", ""Four Legs Good: Two Legs Bad"" etc. But when Snowball the Pig (read: Trotsky) is overthrown by the despotic Napoleon (read: Stalin), all idealism goes out the window, and soon the pigs are ruling dictatorially over the other animals. Before long, Animal Farm operates on but one principle: ""All Animals Are Created Equal, But Some Are More Equal Than Others."" Orwell's ironic ending, in which it becomes impossible to tell the difference between the Pigs and the Humans, is blunted in favor of a grafted-on happy ending, perhaps to mollify the kiddie trade. Maurice Denham supplies all the character's voices, while Gordon Heath serves as narrator. ~ Hal Erickson, Rovi",NR,John Halas,Joy Batchelor,Director Not Available,Writer Not Available,Writer Not Available,Writer Not Available,Writer Not Available,1/1/1954,73 minutes,deRochemont Films,Maurice Denham,Gordon Heath,Cast Not Available,Cast Not Available,Cast Not Available,Cast Not Available,Animal Farm,1954
